Ensembl.Gene.ID Averaged.RPKM.brain Averaged.RPKM.heart Averaged.RPKM.kidney Averaged.RPKM.testis Averaged.RPKM.cerebellum Averaged.RPKM.liver Tau Mean Max
ENSGALG00000000003 4.19728397476752 0 0 2.36290927865328 4.64476595625106 0 0.717523194270234 1.86749320161198 4.64476595625106
ENSGALG00000000004 3.50496982691396 3.02014638854806 2.22119437343741 3.57598681248122 4.4854635562237 0.170382620186739 0.442970392469985 2.82969059629851 4.4854635562237
ENSGALG00000000011 3.28310412475403 2.86482819851166 1.85537024529046 3.95200607926373 3.43118426879629 0.817323873045478 0.379970047380066 2.70063613161028 3.95200607926373
ENSGALG00000000013 2.58501686008928 2.28745015499947 2.81890032853558 4.25897087131506 3.30684003814734 1.98189355393313 0.390458337100724 2.87317863450331 4.25897087131506
ENSGALG00000000014 0 0 0 1.37947988369259 0 0 1 0.229913313948765 1.37947988369259
ENSGALG00000000017 2.37178891422201 3.46851545057687 3.48503308521496 0.861724672497981 2.90009844029528 3.69022471827692 0.290711999299711 2.79623088018067 3.69022471827692
ENSGALG00000000019 6.47616749678857 3.24614736354745 3.48617497441132 2.84081025546055 6.69245549147784 2.0077429927928 0.460376147260314 4.12491642907975 6.69245549147784
ENSGALG00000000033 4.67081014269246 6.00099293479438 4.90371448304862 6.49850845872769 4.54405609987343 4.17899763444261 0.252180051801956 5.13284662559653 6.49850845872769
ENSGALG00000000038 0 4.1666773119904 0 0 0 0 1 0.694446218665067 4.1666773119904
ENSGALG00000000040 2.3523261085703 5.29697061930812 5.89483497836857 2.2499052943096 2.28837443725819 5.6617500198919 0.394407933560916 3.95736024295111 5.89483497836857
ENSGALG00000000041 5.97672855867608 4.57464103541412 5.39356988609618 7.22270498164288 5.87275548446366 5.14965290354921 0.253261819865575 5.69834214164035 7.22270498164288
ENSGALG00000000043 5.19488755870768 4.32054530104519 5.56445455597818 6.09676006668721 4.50022332267336 5.66711003895218 0.171782372893177 5.22399680734063 6.09676006668721
ENSGALG00000000048 2.37019810000239 1.65926004764245 6.82256153595237 1.76916170553472 2.52120857635186 1.49191073978977 0.712373743567809 2.77238345087893 6.82256153595237
